id,name
2180,Ozon
3529,Сбербанк
11680,ДОМ.РФ
1846,Brainpower CIS
1304,Luxoft
555901,Tibbo
69961,DataArt
2768,Johnson & Johnson
4062314,FocusReactive
276,Tetra Pak
553340,Российский Футбольный Союз
9281,JetBrains
636505,Транснефтьэнерго
1947330,ANCOR FinTech
156424,GDC (ICL Services)
2808,Открытые Технологии
1732573,LORUS SCM
3501206,Стандарт Стафф
4925,Kelly Services
15478,mail.ru group
3795798,Altinity
563,"Трансстройбанк, АКБ"
4572302,TikTok Pte. Ltd.
4540682,PeakData
3221871,ПОКЛАИН РУС
1654251,Национальная система платежных карт
883890,ВСМ Груп
1740,Яндекс
4872,ТЕХНОСЕРВ
1312113,Exness
1668887,ПРОФ-ИТ ГРУПП
27937,Align Technology
2501719,СПОРТТЕХКОНСАЛТ
188712,Ситимобил
8536,Forward Media Group
2393,"Программный Продукт, ИТ-компания"
802184,Grid Dynamics
740012,РН Банк
3063,Информационное агентство России ТАСС
780654,Lamoda
421950,ADV/web-engineering
890667,Wheely
3818429,CT Consulting
9779,Fircroft Engineering Services Limited
346616,Social Quantum
210154,"DataLine, Компания"
3263535,ByteDance
197135,ИК СИБИНТЕК
3934963,Coins.ph
3776,МТС
711221,Flocktory
4110289,DWI Consulting
789662,SEMrush
726921,Фабрика информационных технологий
1245452,Cloud Linux
49357,"МАГНИТ, Розничная сеть"
1994,АДВ
2155808,Газпром-медиа Развлекательное телевидение (ГПМ РТВ)
1057,Лаборатория Касперского
4674614,Compstak Inc
3125,QIWI
2059288,Белка Геймз
87021,WILDBERRIES
1110684,Vigrom Corp.
1060266,Техносерв Консалтинг
4181,Банк ВТБ (ПАО)
4357678,Акронис-Инфозащита
2618793,Перфект Арт
2942396,СтандартПроект
3908202,ElectroNeek
654435,Spice Agency
3524588,Kelly
1055151,Акуматика
1947314,ANCOR Consumer Goods
89,БАНК УРАЛСИБ
2298630,КИБЕРТОНИКА
25022,ProfiStaff
1554975,Текнимонт Руссия / Tecnimont Russia
899854,NetworkOptix
78638,Тинькофф
1429999,ЦИАН ГРУПП
2863076,Skillbox
2935,Siemens
1564038,SegmentStream
2624107,MOS.RU
3544865,ABCstaff
228,GE (General Electric Company)
2921408,НИПИГАЗ
4543942,Почтовые технологии
4219,Tele2
3787161,Micro Focus
3565331,Технологическая Компания Центр
