empl_id,id,name
2180,5.467,"Курьерская, почтовая доставка"
2180,5.466,Складские услуги
2180,41.525,Интернет-магазин
2180,49.412,Туристические компании
3529,43.647,Банк
11680,43.650,"Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)"
11680,43.648,"Управляющая, инвестиционная компания (управление активами)"
1846,44.391,Кадровые агентства
1304,7.540,Разработка программного обеспечения
1304,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
555901,8.484,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)"
555901,8.481,"Промышленное, бытовое электрооборудование и электротехника (производство)"
555901,7.540,Разработка программного обеспечения
555901,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
69961,7.540,Разработка программного обеспечения
69961,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
2768,388.489,"Медицинское, диагностическое оборудование, инструменты (продвижение, оптовая торговля)"
2768,388.487,"Медицинское, диагностическое оборудование, инструменты (производство)"
2768,42.590,"Бытовая химия, парфюмерия, косметика  (продвижение, оптовая торговля)"
2768,42.608,"Товары для детей (продвижение, оптовая торговля)"
2768,48.683,"Фармацевтическая продукция (продвижение, оптовая торговля)"
276,388.493,"Оборудование для пищевой промышленности, упаковки и хранения (производство)"
276,388.495,"Оборудование для пищевой промышленности, упаковки и хранения (продвижение, оптовая торговля)"
553340,37.631,Спортивная федерация
553340,39.450,Спортивное обучение
9281,7.540,Разработка программного обеспечения
156424,7.540,Разработка программного обеспечения
156424,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
2808,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1732573,5.468,"ВЭД, таможенное оформление"
