id,name,salary,empl_id
36991105,Data Engineer (Python),137931.0344827586,2298630
36409905,Data Engineer,206896.55172413794,2730772
37036573,Data Engineer - Sales Home,220000.0,1641540
37054908,Data Scientist,130000.0,2558781
36585686,Data Engineer,,87021
37047108,Oracle DBA (support engineer),275000.0,4110289
37313826,Data Engineer,,2863076
37293822,Junior language performance engineer/intern,,2873
37297045,Data Engineer (BI),,1312113
36959070,Remote AWS Big Data Engineer,,1234509
37331973,Pricing development manager,,6799
36916013,Разработчик Python Backend,172413.7931034483,5552
36672688,Руководитель локальной группы Data Science в г. Москва,,1038826
37165617,Data Engineer,,2180
37194576,2D художник (casual game),149425.28735632185,3481573
36991107,Middle/Senior data scientist (fraud prevention),206896.55172413794,2298630
35594122,Technical Support Engineer (Nx Meta),192900.0,899854
37036422,QA Engineer - Sales Home,220000.0,1641540
33975505,IT руководитель команды (направление Data Science),,2136954
37046573,Tech Presale / Support Engineer,,3908202
36357464,Data Warehouse Engineer,,2592107
34827562,Senior developer C#,229885.05747126436,2652595
36217562,Data Engineer,,23040
37098179,Senior Data Platform Engineer,,5135
37149720,"Senior Developer Tools Engineer, C++ & Qt",,5135
37153275,IDE Tools integration Engineer,,2873
36666860,Automation Engineer,,276
37097624,Senior Data Science Engineer,,5135
37008053,Software Engineer (Java),,234264
37093343,Financial Due Diligence (FDD) Manager,,730764
37296415,"Quality assurance automation engineer (Cyprus, Limassol)",,1312113
37097717,GeForce Now Technical Program Manager,300000.0,5135
36910059,Customs specialist 1 - Customs operations,,4612413
36910635,Order Intake Specialist,80000.0,2725079
36941375,Malware Analyst for Imunify Security,,1245452
37036308,Fullstack developer - Sales Home,180000.0,1641540
36889906,Senior DWH Developer,,740012
36818130,Machine Learning Research Engineer / Инженер отдела исследований и разработок,,1378
36859631,Lead Product UX/UI designer,,883890
36972863,Data Engineer,,1110684
37077466,С++ Developer,,2185027
37224560,JavaScript Engineer (React / React Native),287356.3218390805,4062314
36851916,Data Engineer,,4219
36882008,Software Architect (to Thailand),,3284664
36742062,DevOps Engineer with Backend experience,,2209062
36940956,Linux Technical Support Engineer for Imunify Security,,1245452
36287249,Программист MS SQL (Москва),103448.27586206897,714386
36878962,"Full Stack Developer, GeForce NOW - Software",,5135
36663678,DevOps Engineer,,1312113
36938791,Менеджер по продажам услуг,57471.26436781609,3101894
36652037,Senior Software Engineer/ Full Stack,,2209062
36587583,Data engineer,,4543942
37333749,Data Engineer,,1429999
36395460,Pre-sale Engineer,,3776
36936373,Data Engineer SberDevices,,3529
36232777,Инженер по тестированию Siebel CRM,,4496
36849804,Инженер-исследователь Linux,,3529
31429476,Data Engineer (Middle/Senior),,87021
34251157,Data Scientist / Senior Data Scientist (Python),,1776
37332227,Тестировщик,,3529
36689333,QA Engineer,,4496
37125590,DATA ENGINEER,,3809
37330459,Network Algorithm Engineer,,3524588
37331455,Senior Information Security Analyst,,12849
37111755,Technical Lead в Data Science-команду/Data Engineer,,599
37330305,Calypso Support Specialist,,1833
36564534,Code reviewer (Python),,1740
36741488,AI algorithm library Team Leader,,4925
37153418,"Code reviewer ( HTML, CSS, JavaScript)",,1740
36224374,Системный аналитик AI,,3529
36057559,Ведущий инженер по тестированию,250000.0,2155808
37153420,Code reviewer (Node.js),,1740
37332159,Java Developer (marketing),,2059288
37203751,Code reviewer (С++),,1740
35052439,Python TeamLead (DS/ML),,78638
36607615,Java/Kotlin Software Engineer,,2592107
37243032,Куратор в Практикум на программу обучения «Интернет-маркетолог»,57471.26436781609,1740
37167337,Senior Data Engineer / Ведущий инженер данных,,2155808
37314897,Instrumentation Engineer,,1554975
33687975,Разработчик хранилищ данных DWH \ Data Engineer,,22494
37292612,QA Lead/Старший инженер по автотестированию,,228
37247151,DS Teamlead на голосовые сервисы,,78638
36522761,IOS Developer,,89
37151603,"Главный инженер поддержки и администрирования АБС ""Инверсия XXI век""",,563
36387899,Руководитель сервиса (medical equipment),,1947314
34553872,DWH разработчик,,4233
37314234,Product Manager (Datalore),,9281
36741977,Senior Backend Developer (ruby/node.js/go),406494.2528735632,4456441
37315124,QA Automation Engineer,,1060266
37314881,Quality Manager,,1554975
37312721,Аналитик данных (Big data),,4181
37312606,Developer DWH (Data Engineer),,1057
37302501,Electrical Design Engineer,,1554975
36863878,Senior Backend Engineer (Product analytics),229885.05747126436,9281
36549691,"Materials Supervisor (Svobodny, Amur Region, Russia)",,1124
37304438,Data/ML Engineer,,906557
33647219,Python developer (Data Engineer),,790022
36989089,Data Engineer / ETL Developer,,2863076
35853354,DevOps инженер / ML Data engineer,,6189
36863899,Senior Kotlin Software Developer,229885.05747126436,9281
36972981,Инженер по тестированию ЦФТ,,4496
37313746,"Senior Sales Manager (O&G, Digital)",,228
37305246,Старший инженер управления мощностями,,4496
37302886,Ведущий аналитик данных/Data scientist,,3529
37302419,Procurement Operator,,1554975
37310729,Старший инженер эксплуатации РБО,,4496
37312118,Lead Java Developer,,6769
36929078,Инженер сопровождения кредитных технологий,,3782
35441100,DevOps Expert - Cloud Software Development,,7643
37120402,"Node.js разработчик (React, Vue)",344827.5862068966,722007
36879086,E- commerce Marketing Manager,,2873
37297061,IT Security Engineer,,1312113
35441106,Java Microservice Expert - Cloud Software Development,,7643
31806383,Ведущий системный инженер комплексных сетевых решений и сетей ЦОД,,2651877
37303929,Руководитель направления по аналитике данных,,3529
37312115,Java developer,,6769
36950166,Ведущий инженер направления сетевых решений,,2651877
37289824,Бизнес-аналитик RTM,,4181
37292440,Data scientist,,197135
36407912,Middle Data Engineer,,3125
36597941,Network Engineer (Cyprus),,2501719
37280700,Data engineer/ Data analyst (Hadoop),,23040
35626845,Data Engineer (DS Платформа),,3529
37294771,Инженер по оборудованию / Сервисный инженер,,1668887
37288078,Инженер-аналитик (data science),,15478
33798173,Data Engineer,,3529
36909127,BI Analyst,,200512
36678135,Дата инженер / Data engineer,,1732573
37285227,QA automation инженер,,4496
36909130,BI Senior Developer,,200512
37287713,User Acquisition Manager - Paid & Organic ASO,,4456441
36601503,Разработчик ETL-движка,,3529
35873559,QA engineer (автоматизированное тестирование),,4872
37287878,App Store Optimization Expert/ASO with Apple Search Ads experience (Remote opportunity),,2661894
36445901,Data Engineer/ Разработчик Spark,,3529
37278260,QA automation engineer,,78638
35873251,QA Инженер по автоматизации тестирования,,4872
35715699,Ведущий инженер по автоматизированному тестированию / QA engineer,,4872
37167153,"Senior BigData Engineer, Financial Software Solutions",,69961
37047247,Ведущий тест-инженер (нагрузочное тестирование),,3095
37285071,Data-инженер,,3529
37279695,Senior Backend Engineer (Cube.js Core),,4573853
30234738,Программист-математик,,533
36939562,Ведущий инженер / DevOps Engineer (Hadoop),,8620
37279099,Инженер систем мониторинга (Splunk),,197135
37034360,Team Lead (Python),,6769
37005114,DevOps инженер / ML инженер (Массовая персонализация),,3529
37153073,Cloud Engineer / Инженер по облачным технологиям (виртуализация и распределённые СХД),,8620
35651418,Разработчик Node.JS,,3269391
36719518,Data Scientist / Machine Learning Engineer,,2592107
36708657,Администратор AVEVA/Разработчик - администратор (платформа AVEVA),,2921408
37281580,Senior+ (Java/Scala/Go) специалист в платформу исследования покупательского опыта Flocktory,310344.8275862069,3239351
37275654,"Архитектор решений ecommerce-платформы (Hybris, Java)",,680293
36357454,Category Manager (Pet Care),,2592107
34238956,DevOps инженер,,4496
36817382,Well Testing Specialist (Middle East),,4575208
37234849,Data Engineer/Разработчик ETL,,553340
35216104,Data Engineer,,2808
37249404,Data analyst / ML engineer (Аналитик данных),,346616
37242174,Data engineer,,711221
37249456,Инженер по автотестированию (Java),,3565331
37247238,Инженер Devops,,2733062
37246139,Infrastructure Solution Architect,,2707491
37231359,Logistic and Customs specialist,,107675
37249678,Middle Office Support Specialist / Специалист поддержки бизнес приложений,180000.0,2102
37248056,Data-инженер (Lead DE «Инструменты управления рисками и потерями в Сети продаж»),,3529
26659765,Product Manager,,815269
36821642,Business Development Manager,,3410563
37246370,Team Lead / Senior Site Realibility Engineer (BigData),,3491569
37250000,SAP Consultant / IT Project manager,,7837
36324853,Front-End Engineer (React),,2592107
37250001,Senior C# Developer,,1055151
37238256,Scala/Java developer (Big data),,65093
36449179,С++ разработчик,,27937
37231225,Senior DevOps (Hadoop) Engineer,,1304
37232293,Ведущий инженер по тестированию (ВЭД),,3529
37248536,Сетевой инженер NOC,160919.54022988505,4872
36811434,Lead Angular Developer (Angular),,1304
37229711,Senior Angular Developer,,1304
37139331,Тестировщик ПО,,3529
36974459,Document control and archive specialist,,3459235
37227806,"Старший/ведущий functional Scala разработчик (Белград, Сербия)",337575.0,4674614
37242707,Ведущий системный аналитик DWH (DQ),,188712
37223050,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",,124
36789846,Fixed Network Service Engineer,,2873
34870277,Data Engineer,,3776
37223061,AI Sensors Algorithms Engineer (DSP),,124
36693681,Developer Python/Scala/Spark,,4181
37220237,AI Sensors Algorithms Engineer (DSP),,124
36521361,Lead data engineer,,2618793
37220166,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",,124
37220155,Software Engineer,,124
37223172,Software Engineer (ML algorithm implementation),,124
36813876,QA Engineer (Big data),,3144945
37046458,Local Data Steward – Commercial,,1769199
37078341,Senior Data Analyst (relocation to Saint-Petersburg),,789662
36413040,Junior Big Data developer/Data Engineer,,3144945
36795780,Digital Shelf Manager,,81892
37224899,Senior DevOps Engineer,,6769
37189731,Data Engineer / Инженер данных,,2343
34251172,"Software Architect (Frontend, Backend, Cloud, DevOps) / Senior full-stack engineer",,1776
36800205,Data Engineer,,3776
37192787,Head of IS methodology and master data section,,9779
